year,count_positive,count_negative,avg_positive,avg_negative,max_return,min_return,median_return,avg_return,stddev_return,strategy
2000,112,139,0.01005942100236254,-0.010383414734436174,0.0411465557096625,-0.0464504820333041,-0.00128535270347885,-0.0012565059358016822,0.013178870625323047,OC
2001,125,121,0.009717445301067313,-0.00967767272652414,0.0521188504627374,-0.0348209468232307,0.000647796730852,0.0001761381561451338,0.012528074334444361,OC
2002,122,130,0.011345715372675086,-0.011517571770973152,0.0843466555606062,-0.0404166380564371,-0.0005849328113814,-0.0004488375188894816,0.014832735460981154,OC
2003,134,117,0.007881967846102943,-0.007392119607781595,0.0397795318864542,-0.0271920795651166,0.0009063222948679499,0.0007591495923307442,0.009814737760682129,OC
2004,141,108,0.0045894481988655225,-0.00558140672251227,0.0177433750788712,-0.0200321755489435,0.0009879131835181,0.00017587408733616485,0.006468470404897012,OC
2005,121,130,0.004553480942170101,-0.004982407854080166,0.0194042449301861,-0.015231397835484,-0.0002458757795448,-0.00038389613899936307,0.00607995210159674,OC
2006,142,105,0.004047062380669476,-0.0049537463388348545,0.0175071065088123,-0.0180074647690639,0.0008653909852758,0.00021728881465101936,0.005768443268551562,OC
2007,126,123,0.005435158815145476,-0.006253264427211804,0.0243902764103512,-0.0304420679327883,0.0004638922532117,-0.0003359422862100474,0.007929003426546826,OC
2008,115,136,0.0147856857013776,-0.01437050347188135,0.0796846224425131,-0.0899057433736957,-0.001372170229904,-0.0010040893933495644,0.021012119493466153,OC
2009,139,110,0.009102668731943896,-0.009838394941107945,0.0441961322243677,-0.0462500993030025,0.0013084561750517,0.0007263790088028846,0.013017459377429277,OC
2010,142,108,0.006002953272210746,-0.007184632745152731,0.0302143030648107,-0.0285566801464009,0.0011333965868238999,0.00030348820705329804,0.008644245493561542,OC
2011,135,116,0.006833264581606617,-0.008095692885333013,0.0368250846327655,-0.0397741970765669,0.00056756345131425,-6.591133405450753e-05,0.010198823482865963,OC
2012,135,112,0.00478294397855689,-0.004908710104677813,0.01969067684298,-0.0235918384152278,0.0006201349441285,0.0003836876215250605,0.006387813476978208,OC
2013,153,99,0.0038572595507050237,-0.004445054976382502,0.0157738648644822,-0.0237830358820965,0.0009043042291585501,0.0005956359864920674,0.005492197621710649,OC
2014,140,111,0.003982369998954674,-0.004781871509759466,0.0175352712590293,-0.0213519302449482,0.0005813387647466001,0.00010612723123156174,0.005973229626013281,OC
2015,125,124,0.005366291341190002,-0.0054391385800520945,0.0275596543699821,-0.0417540229705567,0.0,-1.4550659832180059e-05,0.007367501143498963,OC
2016,139,112,0.004562897148770051,-0.004314925437533062,0.0220570164344948,-0.0289020067132395,0.00067908716903995,0.0005990914868068818,0.006107561549696031,OC
2017,134,113,0.0024603237377309683,-0.002412311035369527,0.0087881125485958,-0.0177440622890102,0.0001764823355114,0.0002274590990406101,0.0034450879406333844,OC
2018,127,122,0.0057373839654561954,-0.007380028400864233,0.043268175625124,-0.0387299149456761,3.569307351967875e-05,-0.0006841262999701186,0.009711851435495798,OC
2019,138,112,0.004259221412235658,-0.004030151722703409,0.0193869022285018,-0.0208648667814205,0.000615801204986,0.0005412522299434084,0.005728454394084825,OC
2020,147,105,0.007416268404262621,-0.009889670176686731,0.0468099059577461,-0.0566115358786333,0.0014315339005185,0.00020464856472133898,0.012206047264204493,OC
2021,137,114,0.0048468434829557665,-0.00498374898006931,0.0154934885584109,-0.0241313887335377,0.000706847882757,0.00038043719617872465,0.006399303017965685,OC
2022,127,124,0.009787657347964345,-0.01032605107207195,0.0479940728379216,-0.0335726092612067,0.0001068366312675,-0.00014899541731254958,0.012663847555742664,OC
2023,147,103,0.005326340473005567,-0.00583642376273262,0.0240162810905414,-0.020463283323205,0.0012653786731108,0.0007272816078814338,0.007107952925177189,OC
2024,67,57,0.004050144542768941,-0.0039067475902824006,0.0131716873902326,-0.0207326161833862,0.0004905553567686499,0.00039254090096308195,0.005448264705270078,OC
