year,count_positive,count_negative,avg_positive,avg_negative,max_return,min_return,median_return,avg_return,stddev_return,strategy
2000,138,110,0.005266386801941283,-0.004530432870171469,0.0254851531447276,-0.0245316681534344,0.0006423257905012,0.0009064038212263313,0.006769055645919525,CO
2001,116,129,0.004926275980662386,-0.005604456986591957,0.0250822622535387,-0.0822353730194945,-0.00025407727045675,-0.0006109957157803451,0.008745192592764857,CO
2002,120,130,0.005588977572179793,-0.00601306016375457,0.0278861005192369,-0.0241902487639379,-0.0004020540690167,-0.0004405575897877738,0.0076254308755104635,CO
2003,142,107,0.0034467623599996793,-0.004077051747667951,0.0240307763302318,-0.0184008203364761,0.0004701849619778,0.0002110941195217608,0.004999033261521868,CO
2004,131,120,0.002663791088978101,-0.0025200931505079977,0.0130338677918349,-0.0111745592368407,0.0002610281370364,0.00018470418490147423,0.0033002891536686395,CO
2005,147,105,0.002087544775894537,-0.0016694072722586713,0.008699453754138,-0.0099598460660504,0.0004145542077191,0.0005221480891640335,0.0023953391728283526,CO
2006,128,115,0.0022949530893928323,-0.0018740008769503593,0.0089686050206469,-0.0065810483109681,0.0001509984383006,0.00031172866371709647,0.0026072173611265534,CO
2007,139,108,0.0036737513320926002,-0.0035717856223616315,0.0239267681241869,-0.0160182148164133,0.0006458105247306,0.0004976039360391048,0.0049046623017968,CO
2008,130,122,0.00835933945503125,-0.010114595407674168,0.0606779971365201,-0.0832152326278799,0.0002390721907421,-0.0005820810694948079,0.014096967361431184,CO
2009,140,112,0.00663093042617959,-0.007697572217350725,0.0264632877528971,-0.0314161238159619,0.0014932518831334502,0.00026270702905500503,0.009273295622196635,CO
2010,132,119,0.005013248587092917,-0.005064827195144576,0.0408951585026226,-0.0241388775064608,0.0003441170972502,0.00023426340188119227,0.006928167876844136,CO
2011,129,121,0.00623620542988854,-0.006253484198082377,0.0286546832533491,-0.0293593477239835,0.00027313268172,0.00018967822415735726,0.008856852305843576,CO
2012,131,119,0.003802071346586052,-0.0038501263718838685,0.0189593208258625,-0.0203279840649112,0.00025399149258645,0.0001596252325943699,0.005213005366048067,CO
2013,139,111,0.003000272615276399,-0.0029188610700654513,0.0116229683429319,-0.0122546108984329,0.0005060611082516,0.00036922347121489833,0.003950061384923534,CO
2014,143,107,0.0028072629767798064,-0.0028677046516240156,0.0146192195112877,-0.0180764643543607,0.000445667475802,0.00037537384109421676,0.003930014701376914,CO
2015,124,127,0.004223808875850791,-0.004223864970762834,0.031292837339215,-0.052267079018282,-9.473930341994195e-05,-5.0311709053102785e-05,0.0067562989929137425,CO
2016,129,113,0.003386395767195591,-0.004105150618966335,0.0165514826583198,-0.0340590710067514,0.00014199989987125,-0.00010728954751970128,0.005410411709329864,CO
2017,142,96,0.002160523210261557,-0.0019526204648784636,0.0110405233740663,-0.0082528347281843,0.0004178933490719,0.00047546904872035285,0.002533410957206523,CO
2018,140,111,0.0039513996100355815,-0.004063638761346745,0.0169011109196232,-0.0160221519787812,0.0005147219104933,0.0004069005693047516,0.005403786184200379,CO
2019,148,103,0.003625947525646305,-0.00380339675000308,0.0138405042017121,-0.0197153507651797,0.00075653107353535,0.0005749617799418091,0.004901396834315163,CO
2020,144,109,0.008448253638830651,-0.009816219108932088,0.0603764285626867,-0.1044854221118498,0.0018165489727226,0.0005793701229961108,0.015541293099225917,CO
2021,154,98,0.0034602369220060303,-0.003902282084573786,0.0137501608679842,-0.0151244164676865,0.0010765555202019998,0.0005970350861138797,0.00473525568569687,CO
2022,114,137,0.006517660631723837,-0.006500600461249808,0.0372062724948146,-0.0259035972915116,-0.0005820801464784,-0.000587924108265762,0.00867122409514053,CO
2023,127,122,0.003839091324087022,-0.0037249498837711313,0.0139258157813987,-0.0149082178390831,7.887410321832311e-05,0.0001324828493558954,0.004804431990989056,CO
2024,77,45,0.0032796603517714,-0.0034697535407338417,0.0136763508928022,-0.0128747895436635,0.0009455836401006,0.0007773785302691523,0.004338578888335313,CO
