year,CO_pos_to_neg,CO_neg_to_pos,CC_pos_to_neg,CC_neg_to_pos,OC_pos_to_neg,OC_neg_to_pos,Year
1999.0,57.0,57.0,49.0,50.0,49.0,49.0,
2000.0,70.0,70.0,61.0,60.0,62.0,61.0,
2001.0,69.0,69.0,63.0,63.0,65.0,65.0,
2002.0,76.0,76.0,71.0,72.0,64.0,65.0,
2003.0,72.0,72.0,65.0,65.0,71.0,71.0,
2004.0,66.0,66.0,62.0,61.0,64.0,63.0,
2005.0,64.0,64.0,68.0,68.0,69.0,69.0,
2006.0,70.0,70.0,59.0,59.0,65.0,65.0,
2007.0,75.0,75.0,71.0,71.0,65.0,65.0,
2008.0,67.0,67.0,62.0,63.0,66.0,67.0,
2009.0,71.0,71.0,62.0,61.0,59.0,58.0,
2010.0,66.0,66.0,63.0,64.0,64.0,65.0,
2011.0,69.0,69.0,62.0,61.0,59.0,58.0,
2012.0,67.0,67.0,57.0,58.0,69.0,70.0,
2013.0,62.0,61.0,64.0,64.0,60.0,60.0,
2014.0,67.0,68.0,67.0,66.0,59.0,58.0,
2015.0,70.0,69.0,66.0,66.0,67.0,67.0,
2016.0,60.0,61.0,74.0,74.0,68.0,68.0,
2017.0,63.0,63.0,67.0,67.0,61.0,61.0,
2018.0,66.0,65.0,58.0,59.0,56.0,57.0,
2019.0,64.0,65.0,58.0,58.0,61.0,61.0,
2020.0,72.0,72.0,72.0,72.0,72.0,72.0,
2021.0,62.0,62.0,64.0,63.0,65.0,64.0,
2022.0,68.0,68.0,62.0,62.0,60.0,61.0,
2023.0,66.0,65.0,63.0,63.0,62.0,61.0,
2024.0,29.0,29.0,26.0,26.0,32.0,32.0,
2024.0,76.0,76.0,74.0,74.0,72.0,72.0,$\max$
1999.0,29.0,29.0,26.0,26.0,32.0,32.0,$\min$
2011.5,67.0,67.0,63.0,63.0,64.0,63.5,$M$
2011.5,65.6923076923077,65.65384615384616,62.15384615384615,62.15384615384615,62.07692307692308,62.03846153846154,$\mu$
7.648529270389178,8.679950372066562,8.662296728661783,9.07608861874897,9.023047412896855,7.863450015981926,7.952261410344955,$\sigma$
