Year,count_pos,count_neg,avg_pos,avg_neg,Strategy
2000,136,113,0.011879015054107565,-0.011175739422815554,CO
2001,118,127,0.012937689641434292,-0.012066751380737522,CO
2002,113,138,0.011046293537963391,-0.01008521248992248,CO
2003,145,104,0.005740944768457483,-0.005790456988022768,CO
2004,136,114,0.004120484886238737,-0.003688133237050995,CO
2005,144,98,0.002909647423821158,-0.0026631258614217748,CO
2006,135,110,0.0032219359120851053,-0.0033318645770847297,CO
2007,139,109,0.004367730640685792,-0.003946891253406057,CO
2008,131,117,0.0076081756376160424,-0.009798617963973681,CO
2009,136,114,0.0061682168952507735,-0.006182702617932887,CO
2010,138,109,0.0051987283945066605,-0.005167530802918381,CO
2011,126,123,0.006225867699897358,-0.006108022286907775,CO
2012,137,111,0.0041849845956780825,-0.004056352110297207,CO
2013,150,95,0.003306150021162876,-0.0037157145369178662,CO
2014,149,100,0.00341514852417648,-0.003504527204764726,CO
2015,134,114,0.004939215176957271,-0.005044133278837656,CO
2016,136,113,0.0038880817701243586,-0.0045329378882924196,CO
2017,148,102,0.002865925510982376,-0.0024161678291133495,CO
2018,139,109,0.005457705446477279,-0.00590454706411075,CO
2019,150,100,0.004626368112099956,-0.005237160717927919,CO
2020,157,96,0.00846254527145101,-0.011215216122750726,CO
2021,146,106,0.004692055596835916,-0.005049226339993717,CO
2022,112,138,0.00817009617644436,-0.008227619238401237,CO
2023,129,121,0.005095806511978906,-0.004694402940642736,CO
2024,76,46,0.00471072815523311,-0.004688759092218337,CO
2000,122,126,0.02823048360177741,-0.029568914534064624,CC
2001,123,122,0.025339250684029226,-0.027671827256360443,CC
2002,117,134,0.02125381128319938,-0.021402823761681868,CC
2003,142,109,0.012329335515782466,-0.012085931675839778,CC
2004,131,119,0.008707122457964239,-0.008697733065758434,CC
2005,133,116,0.006404325846765551,-0.007162181273441596,CC
2006,137,113,0.007281143976928634,-0.008137292150546553,CC
2007,144,105,0.008274781701262637,-0.009561258029024204,CC
2008,112,139,0.017813842405186662,-0.017689533895755696,CC
2009,149,101,0.011517834179302855,-0.012402309681142639,CC
2010,141,108,0.008427311451258005,-0.009216106311230115,CC
2011,133,117,0.01061281166552922,-0.011612068304715294,CC
2012,127,119,0.007856898886061866,-0.006991998953568621,CC
2013,147,104,0.006101769424318275,-0.005661509798951493,CC
2014,145,105,0.00626700165669544,-0.007036530255626619,CC
2015,131,120,0.00824493552165792,-0.008199590841040499,CC
2016,132,118,0.00715698447648908,-0.007407527723396009,CC
2017,155,96,0.004669870415058078,-0.004633362230074497,CC
2018,136,115,0.009604321493669715,-0.01121472622040143,CC
2019,149,103,0.007512768914082223,-0.007624177751118304,CC
2020,158,95,0.013453296179334356,-0.017601454482803324,CC
2021,143,108,0.008583790118489821,-0.009012026427178174,CC
2022,111,140,0.016728494477292074,-0.015762852844910576,CC
2023,141,109,0.009493677037550217,-0.008184123613163527,CC
2024,71,53,0.007715246086386413,-0.007264874911569261,CC
2000,123,125,0.023028334578691387,-0.028130342005268875,OC
2001,120,127,0.022568164480461617,-0.023124676130231375,OC
2002,113,138,0.02012676193065974,-0.018199761023330985,OC
2003,140,112,0.010849799157477165,-0.011796212657670857,OC
2004,130,118,0.0073453779988675635,-0.008388216600874129,OC
2005,116,134,0.006185890293724784,-0.006360627093733747,OC
2006,134,110,0.006614084654254038,-0.007961014807889917,OC
2007,127,119,0.007047364166282752,-0.007491627124711292,OC
2008,121,129,0.015463846781317516,-0.016926324334969538,OC
2009,142,109,0.009839979056071166,-0.009706782968665518,OC
2010,130,121,0.007368697995768542,-0.007625204484765207,OC
2011,131,121,0.00850511932563857,-0.008988610237138466,OC
2012,139,108,0.005633966080391344,-0.006805825685186725,OC
2013,135,110,0.004775535588047434,-0.00462516657725113,OC
2014,138,111,0.00516500880573589,-0.006227518949441207,OC
2015,130,120,0.00628208460910381,-0.006919980135787712,OC
2016,132,119,0.005821531925255401,-0.005764166041134599,OC
2017,146,104,0.003574091802392278,-0.004060369388672033,OC
2018,128,121,0.00832870453170341,-0.009829057664858004,OC
2019,134,117,0.005864491160055582,-0.00507074072632822,OC
2020,145,107,0.00983156408774142,-0.01155255984437526,OC
2021,143,109,0.006774703984450424,-0.007948561016285095,OC
2022,120,131,0.013894170073943482,-0.013669824251521953,OC
2023,148,102,0.007592306770549529,-0.007681038265066164,OC
2024,61,63,0.006045725299470588,-0.005386920995319708,OC
