Year,CO_Positive Count,CO_Negative Count,CO_Average Positive Return,CO_Average Negative Return,CO_Max Return,CO_Min Return,CO_Median Return,CO_Average Return,CO_Stddev Return,CC_Positive Count,CC_Negative Count,CC_Average Positive Return,CC_Average Negative Return,CC_Max Return,CC_Min Return,CC_Median Return,CC_Average Return,CC_Stddev Return,OC_Positive Count,OC_Negative Count,OC_Average Positive Return,OC_Average Negative Return,OC_Max Return,OC_Min Return,OC_Median Return,OC_Average Return,OC_Stddev Return
2000,138,110,0.005266386801941283,-0.004530432870171469,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,122,130,0.011611706531828686,-0.011546430311055797,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,112,139,0.01005942100236254,-0.010383414734436174,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2001,116,129,0.004926275980662386,-0.005604456986591957,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,124,124,0.01016012155982425,-0.011077318268219774,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,125,121,0.009717445301067313,-0.00967767272652414,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2002,120,130,0.005588977572179793,-0.00601306016375457,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,119,133,0.012635544934617654,-0.012990259152865705,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,122,130,0.011345715372675086,-0.011517571770973152,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2003,142,107,0.0034467623599996793,-0.004077051747667951,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,142,108,0.008051999531205608,-0.008310940956624858,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,134,117,0.007881967846102943,-0.007392119607781595,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2004,131,120,0.002663791088978101,-0.0025200931505079977,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,140,109,0.005276105929274137,-0.00596047291979982,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,141,108,0.0045894481988655225,-0.00558140672251227,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2005,147,105,0.002087544775894537,-0.0016694072722586713,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,136,113,0.004902080008771944,-0.0055900839172601784,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,121,130,0.004553480942170101,-0.004982407854080166,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2006,128,115,0.0022949530893928323,-0.0018740008769503593,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,138,113,0.004797790351056408,-0.004674888477187712,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,142,105,0.004047062380669476,-0.0049537463388348545,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2007,139,108,0.0036737513320926002,-0.0035717856223616315,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,137,113,0.0067343063760713,-0.0077714007206457275,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,126,123,0.005435158815145476,-0.006253264427211804,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2008,130,122,0.00835933945503125,-0.010114595407674168,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,126,127,0.015467964049446845,-0.018476091073618615,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,115,136,0.0147856857013776,-0.01437050347188135,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2009,140,112,0.00663093042617959,-0.007697572217350725,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,139,113,0.01180809479874066,-0.012342943421313247,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,139,110,0.009102668731943896,-0.009838394941107945,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
