year,CO_pos_to_neg,CO_neg_to_pos,CC_pos_to_neg,CC_neg_to_pos,OC_pos_to_neg,OC_neg_to_pos,Year
1999.0,56.0,56.0,54.0,54.0,53.0,53.0,
2000.0,69.0,69.0,65.0,65.0,64.0,64.0,
2001.0,62.0,62.0,64.0,64.0,68.0,68.0,
2002.0,75.0,75.0,65.0,65.0,62.0,62.0,
2003.0,71.0,71.0,70.0,70.0,70.0,70.0,
2004.0,70.0,70.0,63.0,63.0,64.0,64.0,
2005.0,59.0,59.0,63.0,63.0,58.0,58.0,
2006.0,63.0,63.0,60.0,61.0,63.0,63.0,
2007.0,71.0,71.0,64.0,63.0,60.0,60.0,
2008.0,66.0,66.0,67.0,68.0,68.0,69.0,
2009.0,74.0,74.0,62.0,61.0,57.0,56.0,
2010.0,70.0,70.0,57.0,57.0,62.0,62.0,
2011.0,67.0,67.0,61.0,61.0,57.0,57.0,
2012.0,66.0,66.0,55.0,56.0,63.0,64.0,
2013.0,61.0,60.0,65.0,65.0,65.0,65.0,
2014.0,64.0,65.0,66.0,65.0,63.0,62.0,
2015.0,68.0,67.0,58.0,58.0,62.0,62.0,
2016.0,63.0,64.0,68.0,68.0,75.0,75.0,
2017.0,65.0,65.0,64.0,64.0,61.0,61.0,
2018.0,70.0,69.0,66.0,67.0,60.0,60.0,
2019.0,61.0,62.0,58.0,58.0,64.0,65.0,
2020.0,66.0,66.0,67.0,67.0,71.0,71.0,
2021.0,65.0,65.0,63.0,62.0,62.0,61.0,
2022.0,65.0,65.0,63.0,63.0,61.0,62.0,
2023.0,60.0,59.0,59.0,59.0,64.0,63.0,
2024.0,33.0,33.0,27.0,27.0,28.0,28.0,
2024.0,75.0,75.0,70.0,70.0,75.0,75.0,$\max$
1999.0,33.0,33.0,27.0,27.0,28.0,28.0,$\min$
2011.5,65.5,65.5,63.0,63.0,62.5,62.0,$M$
2011.5,64.61538461538461,64.57692307692308,61.30769230769231,61.30769230769231,61.73076923076923,61.73076923076923,$\mu$
7.648529270389178,7.930079056740471,7.915418255142691,8.053666150365215,8.038752295072817,8.306901671779642,8.374044147520086,$\sigma$
