date,target,combined_feature,return_label_x,return_label_y,return_x,return_y
1999-03-10,spy,,+,+,0.0055947458039406,1e-06
1999-03-11,spy,,+,+,0.0072289156626506,1e-06
1999-03-12,cash,,-,+,-0.0124045801526717,1e-06
1999-03-15,spy,,+,+,0.0098605098605098,1e-06
1999-03-16,cash,,-,+,-0.0030981887511916,1e-06
1999-03-17,cash,,-,+,-0.0040650406504065,1e-06
1999-03-18,spy,,+,+,0.0190223934505176,1e-06
1999-03-19,cash,,-,+,-0.0198393953708077,1e-06
1999-03-22,cash,,-,+,-0.0009610764055742,1e-06
1999-03-23,cash,,-,+,-0.0241662638956017,1e-06
1999-03-24,spy,++-+--+---,+,+,0.0004927322000492,1e-06
1999-03-25,spy,+-+--+---+,+,+,0.0112249877989263,1e-06
1999-03-26,cash,-+--+---++,-,+,-0.0004859086491739,1e-06
1999-03-29,spy,+--+---++-,+,+,0.0154851197677232,1e-06
1999-03-30,spy,--+---++-+,+,+,0.004088504088504,1e-06
1999-03-31,cash,-+---++-++,-,+,-0.0212056230640934,1e-06
1999-04-01,cash,+---++-++-,-,+,-0.0026506024096385,1e-06
1999-04-05,spy,---++-++--,+,+,0.011217183770883,1e-06
1999-04-06,cash,--++-++--+,-,+,-0.000709219858156,1e-06
1999-04-07,spy,-++-++--+-,+,+,0.0035327366933584,1e-06
1999-04-08,spy,++-++--+-+,+,+,0.0124354763022055,1e-06
1999-04-09,spy,+-++--+-++,+,+,0.00325430032543,1e-06
1999-04-12,spy,-++--+-+++,+,+,0.0213064856005619,1e-06
1999-04-13,cash,++--+-++++,-,+,-0.0059633027522935,1e-06
1999-04-14,cash,+--+-++++-,-,+,-0.0213596692696371,1e-06
1999-04-15,cash,--+-++++--,-,+,-0.0058548009367681,1e-06
1999-04-16,cash,-+-++++---,-,+,-0.0103456383729132,1e-06
1999-04-19,cash,+-++++----,-,+,-0.0240226095148374,1e-06
1999-04-20,spy,-++++-----,+,+,0.0101107366393837,1e-06
1999-04-21,spy,++++-----+,+,+,0.0290891750119217,1e-06
1999-04-22,spy,+++-----++,+,+,0.007631822386679,1e-06
1999-04-23,cash,++-----+++,-,+,-0.0004599816007359,1e-06
1999-04-26,spy,+-----+++-,+,+,0.0006868131868131,1e-06
1999-04-27,spy,-----+++-+,+,+,0.0009115770282588,1e-06
1999-04-28,cash,----+++-++,-,+,-0.0077874484654145,1e-06
1999-04-29,cash,---+++-++-,-,+,-0.0089903181189488,1e-06
1999-04-30,cash,--+++-++--,-,+,-0.013647929678464,1e-06
1999-05-03,spy,-+++-++---,+,+,0.0168618266978922,1e-06
1999-05-04,cash,+++-++---+,-,+,-0.0101757631822386,1e-06
1999-05-05,spy,++-++---+-,+,+,0.0065328978068128,1e-06
1999-05-06,cash,+-++---+-+,-,+,-0.0033705253370525,1e-06
1999-05-07,spy,-++---+-+-,+,+,0.0037174721189591,1e-06
1999-05-10,cash,++---+-+-+,-,+,-0.0038238702201622,1e-06
1999-05-11,spy,+---+-+-+-,+,+,0.002771362586605,1e-06
1999-05-12,spy,---+-+-+-+,+,+,0.007366482504604,1e-06
1999-05-13,spy,--+-+-+-++,+,+,0.0006830601092896,1e-06
1999-05-14,cash,-+-+-+-+++,-,+,-0.0058058522991175,1e-06
