Year,CC_count_pos,CO_count_pos,OC_count_pos,CC_count_neg,CO_count_neg,OC_count_neg,CC_avg_pos,CO_avg_pos,OC_avg_pos,CC_avg_neg,CO_avg_neg,OC_avg_neg,CC_max_return,CO_max_return,OC_max_return,CC_min_return,CO_min_return,OC_min_return,CC_median_return,CO_median_return,OC_median_return,CC_average_return,CO_average_return,OC_average_return,CC_stddev_return,CO_stddev_return,OC_stddev_return
2000,122,136,123,126,113,125,0.02823048360177741,0.011879015054107565,0.023028334578691387,-0.029568914534064624,-0.011175739422815554,-0.028130342005268875,0.1236831837690206,0.069078947368421,0.14880833166433,-0.0866477272727272,-0.0436962750716332,-0.0806451612903225,-0.00010319917440655,0.0017118781841315,0.0,-0.0011173183804575335,0.0013995535419859969,-0.0027135222122205136,0.03649823173542595,0.015730006624648643,0.03258851968958908
2001,123,118,120,122,127,127,0.025339250684029226,0.012937689641434292,0.022568164480461617,-0.027671827256360443,-0.012066751380737522,-0.023124676130231375,0.168421052631579,0.0598788174715909,0.1964071856287425,-0.0850439249544977,-0.0835776716026539,-0.0953442506491207,0.0,-0.00026338661989215,-0.0008376365358569501,-0.001045302786856368,-2.350825671136625e-05,-0.0009219924632418973,0.034504894058371906,0.016968266775961176,0.03160549759117639
2002,117,113,113,134,138,138,0.02125381128319938,0.011046293537963391,0.02012676193065974,-0.021402823761681868,-0.01008521248992248,-0.018199761023330985,0.1069686276381056,0.0498257268227573,0.0829895193769922,-0.0580017269498904,-0.0432825497342161,-0.0496019271112498,-0.0026114619722586,-0.00194947934405355,-0.0038599594333437,-0.0015130256505200103,-0.000569556165950156,-0.0009414401708536723,0.026291781030480195,0.013435358138357837,0.023125321979216306
2003,142,145,140,109,104,112,0.012329335515782466,0.005740944768457483,0.010849799157477165,-0.012085931675839778,-0.005790456988022768,-0.011796212657670857,0.0573669551488889,0.0406910327960003,0.0460086536473935,-0.0427383148748302,-0.0257637379821065,-0.0382044179805471,0.00204374582701255,0.00125690755788625,0.00124728183010385,0.0017198376610102156,0.0009136089867935214,0.0007849050174113775,0.015525160600855039,0.007797817026675129,0.014441842712231569
2004,131,136,130,119,114,118,0.008707122457964239,0.004120484886238737,0.0073453779988675635,-0.008697733065758434,-0.003688133237050995,-0.008388216600874129,0.027319268672368,0.020188040523141,0.0255555046929253,-0.0290713737066045,-0.0108401270784701,-0.0328928360692552,0.0012554902429061,0.00039443059993960004,0.00069461212527665,0.0004190587586034198,0.0005553125218438687,-0.00013853340893001586,0.010902386428070876,0.004890207688292237,0.009988746198191702
2005,133,144,116,116,98,134,0.006404325846765551,0.002909647423821158,0.006185890293724784,-0.007162181273441596,-0.0026631258614217748,-0.006360627093733747,0.0265129149486329,0.0121036933634272,0.0251854962221148,-0.0227847419402849,-0.0112920242778221,-0.0224350751380964,0.0003930359029189,0.00054972213334775,-0.0009127702586608499,8.318376944679723e-05,0.0006269956135353682,-0.0005347649066993936,0.00835532499500415,0.0034833064342052397,0.007861310096586718
2006,137,135,134,113,110,110,0.007281143976928634,0.0032219359120851053,0.006614084654254038,-0.008137292150546553,-0.0033318645770847297,-0.007961014807889917,0.0304151724256216,0.0139803218922739,0.0263418865402526,-0.0298683077161582,-0.0156909126855119,-0.0284973883787751,0.0009524027506511,0.0004813587997814,0.0009037712843265,0.00031076777620502955,0.00027273404243891995,4.213432192091746e-05,0.009865586392954161,0.004104787538220049,0.008974991592061561
2007,144,139,127,105,109,119,0.008274781701262637,0.004367730640685792,0.007047364166282752,-0.009561258029024204,-0.003946891253406057,-0.007491627124711292,0.0412477355861313,0.0194156947937255,0.0273335149929421,-0.0410746503377751,-0.0193311426415831,-0.0294058077498568,0.0016834599239645,0.0006727039242288,0.0002125493481847,0.0007475556650768048,0.0007047944718488637,1.399052301699523e-05,0.011429586615573977,0.005626532763634882,0.009424139927667502
2008,112,131,121,139,117,129,0.017813842405186662,0.0076081756376160424,0.015463846781317516,-0.017689533895755696,-0.009798617963973681,-0.016926324334969538,0.1216475546109483,0.0529227995932213,0.073450144297863,-0.0895566847432541,-0.0741226712314584,-0.0791453264218012,-0.0021934300018952,0.0004236487640655,-0.0004270864185704,-0.0018327860163206919,-0.0005919655859969151,-0.0012346655283464452,0.025146475324242443,0.012814552233879081,0.021966861123043996
2009,149,136,142,101,114,109,0.011517834179302855,0.0061682168952507735,0.009839979056071166,-0.012402309681142639,-0.006182702617932887,-0.009706782968665518,0.0617715682488841,0.0246744107547792,0.0463158170083411,-0.049626138274477,-0.0308905857584803,-0.0457337947945394,0.0021591565798886,0.0007122668113798,0.00126774796782925,0.0018393810115901552,0.000531942060753,0.0013461812792760481,0.01610224386487642,0.007962083384657113,0.013287480810970828
